Results_Name,VSPAERO_History
Results_Timestamp,1692335226
Results_Date,8,18,2023
Results_Time,15,7,6
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.251223142999999954e-03,5.454016263000000149e-03,-1.042325610246999990e+00
CDo,3.174868882999999902e-03,6.293598822999999821e-03,9.313382332000000319e-02
CDt,1.245163654900000028e-02,1.709016905799999944e-02,1.672185030599999955e-02
CDtot,4.426092024999999860e-03,1.174761508599999997e-02,-9.491917869270000141e-01
CDtott,1.562650543099999845e-02,2.338376788200000056e-02,1.098556736260000027e-01
CFx,4.426092024999999860e-03,1.174761508599999997e-02,-9.491917869270000141e-01
CFxi,1.251223142999999954e-03,5.454016263000000149e-03,-1.042325610246999990e+00
CFxo,3.174868882999999902e-03,6.293598822999999821e-03,9.313382332000000319e-02
CFy,-1.046717723499999975e-02,8.129388309000000479e-03,-1.099141345562999916e+00
CFyi,-1.046650857699999923e-02,-9.240651536000000360e-03,-1.072841700484000071e+00
CFyo,-6.686579999999999514e-07,1.737003984500000084e-02,-2.629964507900000095e-02
CFz,-2.322466641200000154e-02,-1.463765497800000037e-02,-3.184620281783800166e+01
CFzi,-2.330231694600000056e-02,-3.633620345000000088e-03,-3.185646698535899901e+01
CFzo,7.765053300000000162e-05,-1.100403463300000072e-02,1.026416752099999948e-02
CL,-2.322466641200000154e-02,-1.463765497800000037e-02,-3.184620281783800166e+01
CLi,-2.330231694600000056e-02,-3.633620345000000088e-03,-3.185646698535899901e+01
CLo,7.765053300000000162e-05,-1.100403463300000072e-02,1.026416752099999948e-02
CMx,4.325813667199999990e-02,3.935046044800000198e-02,1.382279283447999996e+00
CMxi,4.226688271299999800e-02,4.239301166000000037e-02,1.371782496225000036e+00
CMxo,9.912539579999999576e-04,-3.042551212000000130e-03,1.049678722399999958e-02
CMy,-2.548599898130000097e-01,-6.672865590000000291e-03,9.429386831963999782e+01
CMyi,-2.545525461450000027e-01,-5.665887503900000205e-02,9.428241809709300014e+01
CMyo,-3.074436680000000046e-04,4.998600944900000176e-02,1.145022254700000033e-02
CMz,-1.850814262619999984e-01,3.179317408199999750e-02,-1.309743561479199947e+01
CMzi,-1.850721693269999912e-01,-4.596929035100000283e-02,-1.297818011210200062e+01
CMzo,-9.256935000000000166e-06,7.776246443300000033e-02,-1.192555026900000009e-01
CS,-1.046717723499999975e-02,8.129388309000000479e-03,-1.099141345562999916e+00
CSi,-1.046650857699999923e-02,-9.240651536000000360e-03,-1.072841700484000071e+00
CSo,-6.686579999999999514e-07,1.737003984500000084e-02,-2.629964507900000095e-02
E,1.381381575230200021e+01,7.705714002199999524e-02,-3.099145935311353242e+04
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.000000000000000000e+00
FC_Cref_,1.000000000000000000e+00
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.000000000000000000e+02
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,0.000000000000000000e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,-5.264761060454000052e+00,-3.093070651570000162e-01,0.000000000000000000e+00
Mach,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1692335226
Results_Date,8,18,2023
Results_Time,15,7,6
Alpha,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,7.107739388999999817e-03,8.977814138999999638e-03,1.076665954499999960e-02
CDo,3.275482237000000053e-03,3.128139961999999892e-03,2.585116198999999788e-03
CDt,1.377937660099999920e-02,1.742728963499999909e-02,1.379555862299999998e-02
CDtot,1.038322162599999987e-02,1.210595410100000040e-02,1.335177574400000025e-02
CDtott,1.705485883900000055e-02,2.055542959700000158e-02,1.638067482200000063e-02
CFx,1.330027760999999897e-03,5.261220215000000054e-03,2.788533687000000014e-03
CFxi,-1.957715415000000139e-03,2.123222787000000021e-03,-1.852576899999999993e-05
CFxo,3.287743175999999819e-03,3.137997428000000033e-03,2.807059456000000116e-03
CFy,2.520486911500000038e-02,2.508609511199999878e-02,7.724879791999999905e-03
CFyi,2.530664738300000133e-02,2.514271287099999891e-02,7.555993306999999638e-03
CFyo,-1.017782680000000001e-04,-5.661776000000000254e-05,1.688864849999999955e-04
CFz,1.039318206309999965e-01,7.876422368100000071e-02,1.213213603180000044e-01
CFzi,1.039289531580000064e-01,7.874031749700000082e-02,1.237453147410000065e-01
CFzo,2.867472999999999964e-06,2.390618400000000117e-05,-2.423954422999999910e-03
CL,1.034204091180000035e-01,7.800595647499999896e-02,1.206166591889999973e-01
CLi,1.037040982550000018e-01,7.825563575800000005e-02,1.232760410860000017e-01
CLo,-2.836891369999999953e-04,-2.496792830000000001e-04,-2.659381896000000047e-03
CMx,3.782524947399999726e-02,7.078445975399999535e-02,3.007662237800000013e-02
CMxi,3.686328338900000251e-02,6.992113805400000659e-02,2.629568018299999893e-02
CMxo,9.619660849999999569e-04,8.633216990000000361e-04,3.780942194999999898e-03
CMy,2.109030224100000017e-01,-2.588117006400000170e-02,-3.753150045000000056e-03
CMyi,2.109779847309999901e-01,-2.519004036799999888e-02,5.588470073000000038e-03
CMyo,-7.496232099999999626e-05,-6.911296960000000000e-04,-9.341620118000000528e-03
CMz,-7.809952352900000061e-02,-1.199160704499999987e-02,-7.504630399999999901e-04
CMzi,-7.759016540499999448e-02,-1.178653124699999971e-02,1.041988104000000004e-03
CMzo,-5.093581239999999495e-04,-2.050757979999999936e-04,-1.792451144000000102e-03
CS,2.520486911500000038e-02,2.508609511199999878e-02,7.724879791999999905e-03
CSi,2.530664738300000133e-02,2.514271287099999891e-02,7.555993306999999638e-03
CSo,-1.017782680000000001e-04,-5.661776000000000254e-05,1.688864849999999955e-04
E,4.816267066936099894e+01,2.171255119605400097e+01,4.492898372388199846e+01
FC_AoA_,5.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.000000000000000000e+00
FC_Cref_,1.000000000000000000e+00
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.000000000000000000e+02
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,0.000000000000000000e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,9.987661054203000432e+00,6.464227032906999959e+00,9.232932266962999179e+00
Mach,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1692335226
Results_Date,8,18,2023
Results_Time,15,7,6
Alpha,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,-8.936153120000000019e-04,2.018395553199999956e-02,2.775126643300000057e-02
CDo,4.060560575999999817e-03,3.748577984999999866e-03,3.894382074000000190e-03
CDt,2.752247156600000008e-02,2.963272993899999930e-02,3.177439627300000097e-02
CDtot,3.166945263999999816e-03,2.393253351799999942e-02,3.164564850700000292e-02
CDtott,3.158303214199999903e-02,3.338130792400000046e-02,3.566877834700000333e-02
CFx,-2.958392200499999902e-02,-1.266790215800000022e-02,-5.271434914999999569e-03
CFxi,-3.370282388100000193e-02,-1.645991239999999856e-02,-9.187890837999999893e-03
CFxo,4.118901876000000302e-03,3.792010242000000073e-03,3.916455923000000325e-03
CFy,3.530176079499999786e-02,1.287669645300000033e-02,3.125766270600000007e-02
CFyi,3.550172307999999860e-02,1.296154176400000045e-02,3.128981566599999681e-02
CFyo,-1.999622850000000072e-04,-8.484531099999999563e-05,-3.215295900000000320e-05
CFz,1.860164699259999888e-01,2.096652108120000135e-01,2.121358195380000089e-01
CFzi,1.859920868609999944e-01,2.095835692999999944e-01,2.119202922710000103e-01
CFzo,2.438306500000000132e-05,8.164151100000000439e-05,2.155272669999999885e-04
CL,1.883276559150000029e-01,2.086796832689999937e-01,2.098283748389999925e-01
CLi,1.890188830890000005e-01,2.092577577439999892e-01,2.102962073499999862e-01
CLo,-6.912271729999999465e-04,-5.780744749999999809e-04,-4.678325110000000208e-04
CMx,8.757358679999999911e-04,2.038941436500000051e-02,1.735516368000000059e-02
CMxi,-1.076110379999999940e-04,1.951204735700000012e-02,1.653249616500000047e-02
CMxo,9.833469060000000258e-04,8.773670079999999587e-04,8.226675140000000224e-04
CMy,4.298262241349999901e-01,2.128457354190000095e-01,2.652339319109999760e-01
CMyi,4.295266748450000116e-01,2.129158462969999999e-01,2.658664644100000030e-01
CMyo,2.995492900000000080e-04,-7.011087800000000646e-05,-6.325324989999999521e-04
CMz,1.075659918709999940e-01,-3.599169566899999839e-02,-1.062085879900000022e-02
CMzi,1.089102651520000020e-01,-3.505093274800000214e-02,-9.140553750999999214e-03
CMzo,-1.344273280999999957e-03,-9.407629210000000497e-04,-1.480305047999999927e-03
CS,3.530176079499999786e-02,1.287669645300000033e-02,3.125766270600000007e-02
CSi,3.550172307999999860e-02,1.296154176400000045e-02,3.128981566599999681e-02
CSo,-1.999622850000000072e-04,-8.484531099999999563e-05,-3.215295900000000320e-05
E,-1.272652986101985107e+03,6.905689889363800660e+01,5.072596192064600018e+01
FC_AoA_,1.000000000000000000e+01
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.000000000000000000e+00
FC_Cref_,1.000000000000000000e+00
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,2.377000000000000206e-03
